"V1","V2","V3","V4","V5"
0.777831361677713,7,0.544804688687291,0.321339957851151,0.461210033921918
0.340932374266892,4,0.72586469701488,0.672161276165756,0.256371500821615
0.207759855257824,5,0.699579364664971,0.280094249285665,0.667271171717998
0.706754647252375,8,0.369226383273277,0.60658011682999,0.745868216594818
0.356544459658034,3,0.607868067206945,0.178406177255904,0.546421059662379
0.769134065895315,2,0.577946776322306,0.404891161466334,0.178369130287501
0.376032837555937,8,0.586997253481631,0.733482909212924,0.236683261913741
0.309465203415314,5,0.247463839310798,0.82013840644825,0.400862234004155
0.72639755945436,5,0.110793231615096,0.896173385790099,0.28689336391022
0.329195455283079,8,0.653705319948659,0.307900652227303,0.162611762842454
0.556116218721069,8,0.393181651914908,0.456540907544668,0.443953383069556
0.214117782177985,3,0.88800161803475,0.917544884073859,0.537289060146111
0.409244064058355,4,0.857248909843102,0.121612175850974,0.388235522325381
0.742529595262873,8,0.35517329172372,0.728962672507445,0.396496896823252
0.22721325133237,2,0.618988914636358,0.752892834230259,0.852990819449092
0.235643517767045,7,0.215962043565257,0.356971252232329,0.327461329845701
0.805834228669647,3,0.794845358507669,0.0935255944783156,0.360900387046226
0.459219012474072,8,0.129107587541076,0.696517456545409,0.757274409658992
0.56555629531753,5,0.283946109751889,0.210007824264846,0.83107972618532
0.829218066124562,1,0.879344805051507,0.642572913750812,0.722411072261516
0.810889123942456,6,0.206485206400725,0.568132047732702,0.883018982456519
0.463429750698476,6,0.133221680116865,0.619702449042375,0.262273570565251
0.879781486611941,7,0.824092531116038,0.295729767815627,0.20077575393984
0.275494392610349,9,0.623105319572125,0.844989481595767,0.677025708703172
0.663467393210441,4,0.676528988971382,0.379853490653803,0.527723304472502
0.183685828362743,3,0.345715398578626,0.224201521168909,0.29445873327726
0.956316133535876,6,0.482160491628894,0.398459287271726,0.583827859493018
0.11824380946921,3,0.782613030533192,0.200784888736265,0.87618768664008
0.710068957441101,6,0.19905658119213,0.553213553134915,0.557339316382207
0.297675039490314,1,0.638834127461887,0.53140847907005,0.0838467069459416
0.134050417191462,10,0.310692431611015,0.789029066403873,0.571309770071514
0.653157789529492,7,0.333802428427363,0.41822015076638,0.0587197320660819
0.793872966949264,6,0.450489518740638,0.903300925657757,0.150407845169499
0.92731562350915,6,0.743862255658803,0.707966027885427,0.426391785901387
0.523849230618365,5,0.521330838412236,0.626213043679556,0.181158315448773
0.934874831508837,3,0.267663217702403,0.468243716043582,0.716954664624429
0.16329279304829,1,0.252191026642857,0.775891719499016,0.697097141774419
0.839816101994773,9,0.567562953094741,0.366226803880459,0.340208145522814
0.59862721073545,9,0.5996246664021,0.0438087211554437,0.4750962877716
0.36715909564148,10,0.161781933673341,0.0811320053216669,0.127943702727158
0.431917120781439,9,0.550272974666855,0.420154768713329,0.737422644373474
0.51487320853016,3,0.155219048528364,0.317944630552661,0.450602024066081
0.89211021851956,8,0.433196671105667,0.997480770814233,0.928261314185418
0.626446084957753,2,0.407033212939954,0.036638186276132,0.764737994595315
0.61842880547121,10,0.89160534807572,0.341935046199357,0.777770674260403
0.421510245065235,2,0.953196437874543,0.633901362670931,0.144272208870067
0.148472730962636,5,0.704046242866111,0.814939960373452,0.807627777707898
0.648210148019183,5,0.935099445935498,0.864873644684841,0.563859723085263
0.63405536106171,2,0.224936140046156,0.856506031328639,0.488041150433142
0.336500913899436,2,0.809965003978629,0.489741665522164,0.706110301013324
0.0150042323723622,10,0.762823703772698,0.441738747239965,0.966106161689405
0.0886335609401065,6,0.419377640378789,0.870283765136037,0.138680341964474
0.261390201332784,4,0.0519752338949704,0.920199203510171,0.0329104048491838
0.670131903765126,9,0.906992085507222,0.529933106265051,0.242658835142627
0.108185391233433,6,0.185845152085133,0.496061427681888,0.689180955914696
0.545558929514665,6,0.985403647905672,0.651137857643579,0.946612127540941
0.174026747859913,8,0.716300689245235,0.545955068729505,0.308525762959234
0.585159753463983,2,0.919115461000711,0.278861184705311,0.897200858133793
0.750096300721641,10,0.424442684509344,0.189156399347012,0.860067438703037
0.506101958059987,4,0.000234865511034622,0.508668707623866,0.821300981277741
0.026068224311385,1,0.685681400185388,0.981980434549491,0.638948212801765
0.858340811446516,4,0.37097972606164,0.263582278123385,0.318344904513969
0.125318844487499,2,0.775464245408439,0.254428538494077,0.196750008932781
0.606497979846685,7,0.467203817099424,0.971502943731056,0.604277654313425
0.865121684159457,7,0.813217924048502,0.0210079336235417,0.501485807036294
0.578287101554153,4,0.530732155894462,0.579003733171331,0.846349105201805
0.416978797768613,10,0.147976577807946,0.511279826961971,0.411679991404395
0.494966483172734,1,0.497550050693194,0.144943329477267,0.370152460881907
0.686871183793807,7,0.0467752764046326,0.167728578983234,0.616639133226345
0.0520278897303625,5,0.230445556089439,0.386942950434548,0.00010107656964658
0.734476901293079,3,0.178408336809122,0.792277795319394,0.060721720005413
0.066932185504561,7,0.44185305018803,0.136386785930593,0.990782580122532
0.975639700850718,1,0.643194909734777,0.331327985342643,0.649642194864707
0.00676209991018213,5,0.940699066546607,0.684416795344719,0.271595118798265
0.0324659004162315,2,0.0136491026028556,0.158744048818192,0.514147539029989
0.384917451386068,6,0.512893412483816,0.246709854338702,0.498336281523562
0.535217667460738,10,0.501071177961492,0.470617701627426,0.0254043505280523
0.288351036428245,4,0.303221600828714,0.948073870707156,0.95696578200182
0.789058604397389,2,0.668454789931093,0.835727932402261,0.334682282787728
0.474214924666263,4,0.0764196468063832,0.00894384023508028,0.0905297271674926
0.963015115949592,9,0.0849732376528982,0.596420128705303,0.624044731064072
0.449933451436497,7,0.83128075715769,0.950418723820964,0.210508528825774
0.317224665366283,8,0.926823234830339,0.0700010624807842,0.793308691954754
0.980080793257059,7,0.732383236842163,0.584323679157376,0.810605367467719
0.0431266106409801,9,0.999569681463878,0.719496467254419,0.656462796908864
0.0756510099199158,10,0.0951842964297006,0.888281682548716,0.226265930799608
0.48996179329512,1,0.964025340356694,0.740656977602432,0.906118735757819
0.246487196853696,1,0.272448556932923,0.192852024758053,0.979242554647487
0.914995592823039,1,0.0281179693780229,0.436336631099232,0.435774593653883
0.691218902518398,4,0.757905895939196,0.232206529695298,0.0418676228445176
0.84247066702086,8,0.0625639527438446,0.932116983651727,0.0197949478210297
0.8856690337181,3,0.29846304746352,0.963961069810647,0.918050192362731
0.152927226694036,9,0.842526280261918,0.101035236379907,0.119192426491534
0.398508172796504,10,0.472667955333585,0.763921613536239,0.984429967515504
0.900171990712586,9,0.103254565994011,0.111337622378074,0.108623389693365
0.0965413038876353,9,0.0317163704701245,0.0507330013002419,0.591842131976309
0.19410148001814,1,0.970840712863688,0.0193944222489465,0.782305277637089
0.949004632374962,10,0.864992901279713,0.800721342661427,0.07186062471173
0.99270868931045,5,0.323594026446239,0.0619855713781432,0.938392894204176
0.259890998068109,3,0.387890662043648,0.660072251049575,0.35261670214922
