"V1","V2","V3"
0.453042797642039,0.390266051902515,0.927382284334049
0.122661619254997,0.935009337542565,0.710506772070753
0.36285954007804,0.222100409175708,0.301695777791487
0.81418798774716,0.0645902200843593,0.553975585366581
0.939428179635448,0.912122242204246,0.329535853351573
0.542343869933515,0.824831974565063,0.539303724675014
0.544634278135591,0.582883330777225,0.645422840591509
0.934377892440092,0.441832629612458,0.937143075671457
0.188952622047426,0.2502741908182,0.0462661213552005
0.477728631130782,0.42719379645989,0.229978060702196
0.236793695206775,0.640297168284611,0.773975704489729
0.75685029851805,0.241377504088106,0.426608379034685
0.499485106285173,0.934474330275706,0.584234360964444
0.0761810074142761,0.631901730452329,0.375813258412796
0.551851859475297,0.536154300012182,0.470148014835265
0.603271256232034,0.447264369409063,0.960437555303567
0.425242190567864,0.116049315258222,0.318471181959614
0.226201533697992,0.151624328979259,0.776972972522112
0.27314418029133,0.573142397344955,0.653342952546974
0.42159769977334,0.519220391237373,0.364764791420213
0.0606407701969799,0.223800848278584,0.888324332981943
0.605404525097958,0.71148428542347,0.624726795879233
0.54565636350087,0.230984959152497,0.580357247717517
0.725202718524534,0.344088512974421,0.781506118760042
0.0715135297872625,0.227774734440992,0.518992175823164
0.555876591697878,0.0615274750449962,0.944403136706877
0.875706960910942,0.57201671213691,0.405857256826085
0.857768709168744,0.885530620992968,0.412117783000576
0.847644838334556,0.62528235390031,0.528093207968023
0.103882376656759,0.831284454925025,0.855171175259539
0.282454590118154,0.898976252988461,0.267224054660323
0.0637565347345917,0.442426984857259,0.559493371547112
0.358729055331704,0.717990833618234,0.698135709186836
0.654756140055432,0.615047802615432,0.290406272828929
0.334670558518142,0.503904630580256,0.232910469133029
0.239167672185897,0.618285779347979,0.313626104100894
0.319018078839351,0.682125854422613,0.415152340212065
0.487855335634879,0.716144916854832,0.557578553462946
0.925698437944817,0.0890970311195549,0.303930289413198
0.537833920398833,0.837136754616034,0.0671114625023175
0.620484894125224,0.780280726663161,0.510700975394529
0.690941725856829,0.731324902715995,0.456027122526113
0.0957879802095471,0.751736635674075,0.952386286631773
0.264656395242673,0.791639227204248,0.463794799523502
0.311083791977826,0.327602504241122,0.201311180171493
0.304527444577941,0.0940840272927838,0.691123839343609
